author,rank,title,abstract_url,paper_url,institution
Ze-Nian Li,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Ren_Object_Detection_Using_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Ren_Object_Detection_Using_ICCV_2015_paper.pdf,
Quanshi Zhang,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Zhang_Mining_And-Or_Graphs_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Zhang_Mining_And-Or_Graphs_ICCV_2015_paper.pdf,
Ying Nian Wu,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Zhang_Mining_And-Or_Graphs_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Zhang_Mining_And-Or_Graphs_ICCV_2015_paper.pdf,
Song-Chun Zhu,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Zhang_Mining_And-Or_Graphs_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Zhang_Mining_And-Or_Graphs_ICCV_2015_paper.pdf,
Shubham Tulsiani,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Tulsiani_Pose_Induction_for_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Tulsiani_Pose_Induction_for_ICCV_2015_paper.pdf,
Joao Carreira,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Tulsiani_Pose_Induction_for_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Tulsiani_Pose_Induction_for_ICCV_2015_paper.pdf,
Jitendra Malik,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Tulsiani_Pose_Induction_for_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Tulsiani_Pose_Induction_for_ICCV_2015_paper.pdf,
Yuhui Quan,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Quan_Dynamic_Texture_Recognition_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Quan_Dynamic_Texture_Recognition_ICCV_2015_paper.pdf,
Yan Huang,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Quan_Dynamic_Texture_Recognition_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Quan_Dynamic_Texture_Recognition_ICCV_2015_paper.pdf,
Hui Ji,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Quan_Dynamic_Texture_Recognition_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Quan_Dynamic_Texture_Recognition_ICCV_2015_paper.pdf,
Bin Yang,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Yang_Convolutional_Channel_Features_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Yang_Convolutional_Channel_Features_ICCV_2015_paper.pdf,
Junjie Yan,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Yang_Convolutional_Channel_Features_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Yang_Convolutional_Channel_Features_ICCV_2015_paper.pdf,
Zhen Lei,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Yang_Convolutional_Channel_Features_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Yang_Convolutional_Channel_Features_ICCV_2015_paper.pdf,
Stan Z. Li,3,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Yang_Convolutional_Channel_Features_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Yang_Convolutional_Channel_Features_ICCV_2015_paper.pdf,
Mattis Paulin,1,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Paulin_Local_Convolutional_Features_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Paulin_Local_Convolutional_Features_ICCV_2015_paper.pdf,
Matthijs Douze,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Paulin_Local_Convolutional_Features_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Paulin_Local_Convolutional_Features_ICCV_2015_paper.pdf,
Zaid Harchaoui,2,,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Paulin_Local_Convolutional_Features_ICCV_2015_paper.html,http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Paulin_Local_Convolutional_Features_ICCV_2015_paper.pdf,
